Index,question,answer
2926,"well, i know how to flip hamburgers.",no one would hire you to flip hamburgers.
2927,no one would hire you to flip hamburgers.,have you heard something that you're not telling me?
2928,have you heard something that you're not telling me?,what do you mean?
2929,what do you mean?,are there going to be layoffs at this place?
2930,are there going to be layoffs at this place?,i certainly hope not!
2931,i certainly hope not!,"if you got laid off, you'd be flipping hamburgers, too."
2932,"if you got laid off, you'd be flipping hamburgers, too.","oh great, we could both work at burger king."
2933,"oh great, we could both work at burger king.","maybe we'd get laid off there, too."
2934,do your students ever talk about their jobs?,"yes, and they ask me what jobs are the best."
2935,"yes, and they ask me what jobs are the best.",i tell my students to become a teacher.
2936,i tell my students to become a teacher.,teaching is a great job.
2937,teaching is a great job.,it's the best job i've ever had.
2938,it's the best job i've ever had.,what makes it so good?
2939,what makes it so good?,"for me, it's the students."
2940,"for me, it's the students.",what do you mean?
2941,what do you mean?,i mean i have wonderful students.
2942,i mean i have wonderful students.,that must be nice.
2943,that must be nice.,teaching is the best part of my whole day.
2944,teaching is the best part of my whole day.,you're a lucky man to have a job you love.
2945,"boy, i'm glad that job is finished.",how long did it take?
2946,how long did it take?,"four hours, without a break."
2947,"four hours, without a break.",it's always nice to finish a job.
2948,it's always nice to finish a job.,"well, it's good and bad."
2949,"well, it's good and bad.",what's bad about it?
2950,what's bad about it?,"when you finish, all you do is start another job!"
2951,"when you finish, all you do is start another job!","yes, that's right. it does get boring."
2952,"yes, that's right. it does get boring.","especially if it's the same work, over and over."
2953,"especially if it's the same work, over and over.",but that's what most people do.
2954,but that's what most people do.,"yes, i guess most of us are stuck in a routine."
2955,"yes, i guess most of us are stuck in a routine.",i wonder if there is any job that you don't repeat over and over.
2956,i think i have the worst boss in the world.,what makes him so bad?
2957,what makes him so bad?,he's rude and he yells a lot.
2958,he's rude and he yells a lot.,that's hard to take.
2959,that's hard to take.,i've never heard him say please or thank you.
2960,i've never heard him say please or thank you.,he sounds like a real jerk.
2961,he sounds like a real jerk.,no one at work likes him.
2962,no one at work likes him.,can't you report him to his supervisor?
2963,can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
2964,"of course not. if i do that, i'll lose my job.","yes, they don't like troublemakers or complainers."
2965,"yes, they don't like troublemakers or complainers.","i can't quit, because i'm making a good salary."
2966,"i can't quit, because i'm making a good salary.",you shouldn't choose money over happiness.
2967,what are we going to do?,about what?
2968,about what?,about finding a job for me.
2969,about finding a job for me.,you don't need a job. i make enough money for both of us.
2970,you don't need a job. i make enough money for both of us.,that doesn't matter. i don't want to sit around.
2971,that doesn't matter. i don't want to sit around.,"okay, what kind of job do you want?"
2972,"okay, what kind of job do you want?",i'm not sure.
2973,i'm not sure.,"well, you should do something that you enjoy."
2974,"well, you should do something that you enjoy.",i enjoy selling. i was born to sell.
2975,i enjoy selling. i was born to sell.,"okay, what do you want to sell?"
2976,"okay, what do you want to sell?",cigarette lighters. i'll make a fortune.
2977,cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!
2978,a new hotel is looking for workers.,"yes, i saw it on the tv news."
2979,"yes, i saw it on the tv news.",they need 300 new workers.
2980,they need 300 new workers.,"and 4,000 people showed up."
2981,"and 4,000 people showed up.",so many people are out of work.
2982,so many people are out of work.,"i still have my job, thank goodness."
2983,"i still have my job, thank goodness.","so do i, but i'm worried."
2984,"so do i, but i'm worried.",me too. there are no guarantees.
2985,me too. there are no guarantees.,"if you lose your job, you can move in with me."
2986,"if you lose your job, you can move in with me.","oh, thank you. that's very nice of you."
2987,"oh, thank you. that's very nice of you.",you would do the same for me.
2988,you would do the same for me.,of course. what are friends for?
2989,i think i did something real stupid.,what did you do?
2990,what did you do?,i bought some stock.
2991,i bought some stock.,everybody buys stock.
2992,everybody buys stock.,i bought it on a hunch.
2993,i bought it on a hunch.,you didn't read about the company first?
2994,you didn't read about the company first?,i didn't have to. it's been in business for 60 years.
2995,i didn't have to. it's been in business for 60 years.,so what's the problem?
2996,so what's the problem?,i used all my savings on this one company.
2997,i used all my savings on this one company.,you put all your eggs into one basket.
2998,you put all your eggs into one basket.,"if the company goes out of business, i'll have nothing."
2999,"if the company goes out of business, i'll have nothing.","oh, you'll have somethingyou'll have a lesson you'll never forget!"
3000,i was going to be a doctor.,what happened to your plans?
3001,what happened to your plans?,i got a d in college chemistry.
3002,i got a d in college chemistry.,"well, a d is better than an f."
3003,"well, a d is better than an f.",a tutor helped me get the d!
3004,a tutor helped me get the d!,"so, you didn't become a doctor."
3005,"so, you didn't become a doctor.",and now i'm glad that i didn't.
3006,and now i'm glad that i didn't.,why's that?
3007,why's that?,a hospital is the most dangerous place in the world.
3008,a hospital is the most dangerous place in the world.,"oh, yes, because of all the killer germs."
3009,"oh, yes, because of all the killer germs.","if you're a smart doctor, you stay away from hospitals."
3010,"if you're a smart doctor, you stay away from hospitals.","yes, the smart doctors are those tv news doctorsno hospitals, no patients."
3011,i want to be a mail carrier when i grow up.,why?
3012,why?,because you get to meet a lot of people.
3013,because you get to meet a lot of people.,you sure do.
3014,you sure do.,and you get a lot of exercise every day.
3015,and you get a lot of exercise every day.,that's the truth.
3016,that's the truth.,and you get to play with a lot of dogs.
3017,and you get to play with a lot of dogs.,"well, you're supposed to be working."
3018,"well, you're supposed to be working.","yes, but i will always pet the friendly dogs."
3019,"yes, but i will always pet the friendly dogs.",what about the unfriendly dogs?
3020,what about the unfriendly dogs?,"i think if you are friendly to dogs, they are friendly to you."
3021,"i think if you are friendly to dogs, they are friendly to you.",dogs are like peoplenot all of them are friendly.
3022,i want to move to new york.,to the state or the city?
3023,to the state or the city?,"to the city, of course."
3024,"to the city, of course.",why do you want to move there?
3025,why do you want to move there?,because i want to make a lot of money.
3026,because i want to make a lot of money.,there are a lot of poor people in new york.
3027,there are a lot of poor people in new york.,there sure areat least a million.
3028,there sure areat least a million.,so how do you plan to become rich?
3029,so how do you plan to become rich?,i will knock on the doors of all the corporations.
3030,i will knock on the doors of all the corporations.,that won't make you rich. nobody will talk to you.
3031,that won't make you rich. nobody will talk to you.,i will keep knocking on doors.
3032,i will keep knocking on doors.,all you will get is sore knuckles.
3033,i love salads.,me too.
3034,me too.,i usually eat a simple salad.
3035,i usually eat a simple salad.,what do you put in it?
3036,what do you put in it?,"just lettuce, tomato, and celery."
3037,"just lettuce, tomato, and celery.",that's it?
3038,that's it?,i add some pepper and salt.
3039,i add some pepper and salt.,i always put cheese in my salads.
3040,i always put cheese in my salads.,"yes, cheese is nice."
3041,"yes, cheese is nice.",what kind of dressing do you use?
3042,what kind of dressing do you use?,i pour lots of french dressing on top.
3043,i pour lots of french dressing on top.,me too. french dressing is so delicious! who cares about calories?
3044,i love cheese.,me too.
3045,me too.,where does cheese come from?
3046,where does cheese come from?,it comes from cows.
3047,it comes from cows.,"so we get cheese from cows, and we get milk, too?"
3048,"so we get cheese from cows, and we get milk, too?","yes, we do."
3049,"yes, we do.",what else do we get from cows?
3050,what else do we get from cows?,we get hamburgers and steak.
3051,we get hamburgers and steak.,"oh, that's so delicious."
3052,"oh, that's so delicious.",we also get leather.
3053,we also get leather.,"we get a lot of things from cows, don't we?"
3054,"we get a lot of things from cows, don't we?",yes. a cow is man's best friend.
3055,i used to work in a deli.,how did you like it?
3056,how did you like it?,i loved it!
3057,i loved it!,did you get free food?
3058,did you get free food?,i ate free cheese and meat every day.
3059,i ate free cheese and meat every day.,that sounds like a great job.
3060,that sounds like a great job.,"whatever a customer ordered, i sliced off a little more for me."
3061,"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
3062,did you get fat?,"no, but i did put on a few pounds."
3063,"no, but i did put on a few pounds.",that sounds like a dream job.
3064,that sounds like a dream job.,"it was, until one day my manager caught me."
3065,"it was, until one day my manager caught me.","no more free cheese for you, huh?"
3066,i'm on a new diet.,what are you eating now?
3067,what are you eating now?,i switched from pasta to potatoes.
3068,i switched from pasta to potatoes.,why did you do that?
3069,why did you do that?,pasta is processed food. potatoes are natural food.
3070,pasta is processed food. potatoes are natural food.,natural food has more vitamins.
3071,natural food has more vitamins.,and it's just as easy to prepare.
3072,and it's just as easy to prepare.,how do you prepare the potatoes?
3073,how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes."
3074,"i wash them, and then steam them for 15 minutes.",that's pretty simple.
3075,that's pretty simple.,"then i add butter, salt, and pepper."
3076,"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?
3077,my girlfriend's mom got mad at me at the dinner table.,why was that?
3078,why was that?,i sprinkled salt and pepper on the food before i tasted it.
3079,i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
3080,what's the matter with that?,her mom is a great cook.
3081,her mom is a great cook.,"so, a little salt and pepper never hurt anything."
3082,"so, a little salt and pepper never hurt anything.",it hurt her feelings.
3083,it hurt her feelings.,oh.
3084,oh.,"i apologized to her, but i could tell she was still upset."
3085,"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.
3086,maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.
3087,i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.
3088,i eat the same thing every day.,you're kidding.
3089,you're kidding.,"no, i'm serious."
3090,"no, i'm serious.",doesn't that get old?
3091,doesn't that get old?,"no, because i'm eating food that i like."
3092,"no, because i'm eating food that i like.",but the same thing day after day gets old.
3093,but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different."
3094,"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?
3095,do you eat fruits and vegetables every day?,"no, i hate vegetables."
3096,"no, i hate vegetables.",but you eat fruits.
3097,but you eat fruits.,"i eat two apples, one banana, and one orange every day."
3098,"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that."
3099,there's something wrong with my orange.,what's wrong?
3100,what's wrong?,it's not orange!
3101,it's not orange!,your orange isn't orange?
3102,your orange isn't orange?,"no, it's dark pink!"
3103,"no, it's dark pink!",are you sure? i never heard of such a thing.
3104,are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
3105,"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink."
3106,"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
3107,who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
3108,"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
3109,what is this world coming to?,who knows? maybe soon we'll have pink bananas.
3110,i love peanuts.,"me, too. i love them roasted and salted."
3111,"me, too. i love them roasted and salted.",i love boiled peanuts.
3112,i love boiled peanuts.,boiled? i never heard of that.
3113,boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.
3114,just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
3115,i'll have to try them sometime.,they're best when they're hot.
3116,they're best when they're hot.,my brother is allergic to peanuts.
3117,my brother is allergic to peanuts.,that's not good.
3118,that's not good.,"no, it isn't. he almost died when he was little."
3119,"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
3120,i guess he has to be very careful about what he eats.,he has a very strict diet.
3121,i'm gaining weight.,how much have you gained?
3122,how much have you gained?,three pounds just this month.
3123,three pounds just this month.,do you know why?
3124,do you know why?,i think it's the ice cream.
3125,i think it's the ice cream.,you started eating ice cream?
3126,you started eating ice cream?,it was on sale.
3127,it was on sale.,how much did you buy?
3128,how much did you buy?,i filled up my freezer with ice cream.
3129,i filled up my freezer with ice cream.,"well, it won't last forever."
3130,"well, it won't last forever.","no, i figure i'll finish it all by next week."
3131,"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale."
3132,i'm stuffed.,of course you are. you ate everything on the table.
3133,of course you are. you ate everything on the table.,i don't like to eat leftovers.
3134,i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.
3135,i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
3136,i like my food hot and fresh.,you like to see it disappear.
3137,you like to see it disappear.,i don't like it reheated.
3138,i don't like it reheated.,"well, you'll have hot fresh food tomorrow night."
3139,"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
3140,i'm so full i'm going to burst.,you should loosen your belt.
3141,you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
3142,i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please."
3143,i saw what you did.,i didn't do anything.
3144,i didn't do anything.,"oh yes, you did."
3145,"oh yes, you did.",what are you talking about?
3146,what are you talking about?,you know what i'm talking about.
3147,you know what i'm talking about.,i don't have any idea.
3148,i don't have any idea.,you know what you did.
3149,you know what you did.,"maybe i know, but how could you know?"
3150,"maybe i know, but how could you know?",because i was watching you.
3151,because i was watching you.,"okay, i'm sorry i did it."
3152,"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!
3153,don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.
3154,i like that shirt.,so do i.
3155,so do i.,how much is it?
3156,how much is it?,i don't know. the tag is missing.
3157,i don't know. the tag is missing.,ask the clerk.
3158,ask the clerk.,i will.
3159,i will.,"oh, look. here's another shirt just like it."
3160,"oh, look. here's another shirt just like it.",does it have a price tag?
3161,does it have a price tag?,"yes, it does. it's only $20."
3162,"yes, it does. it's only $20.",that's a great price.
3163,that's a great price.,i think i'll buy both of them.
3164,i think i'll buy both of them.,you'd better try them on first.
3165,i bought you a pair of pants.,thank you.
3166,thank you.,i hope they fit.
3167,i hope they fit.,i hope you kept the receipt.
3168,i hope you kept the receipt.,you think they won't fit?
3169,you think they won't fit?,i think i've put on some weight.
3170,i think i've put on some weight.,you think?
3171,you think?,maybe a pound or two.
3172,maybe a pound or two.,maybe four or five pounds?
3173,maybe four or five pounds?,my waist is bigger than it was.
3174,my waist is bigger than it was.,no problem. these pants have an elastic waistband.
3175,no problem. these pants have an elastic waistband.,you are so smart!
3176,what do we need to buy?,let me look at our list.
3177,let me look at our list.,i know that we need milk.
3178,i know that we need milk.,nonfat.
3179,nonfat.,of course. what else?
3180,of course. what else?,"we need cheese, bread, and ham."
3181,"we need cheese, bread, and ham.",what kind of cheese?
3182,what kind of cheese?,swiss.
3183,swiss.,"of course, the cheese with holes in it."
3184,"of course, the cheese with holes in it.",i never used to buy swiss cheese.
3185,i never used to buy swiss cheese.,why not?
3186,why not?,i didn't want to pay for the holes.
3187,i need some pants.,i thought you just bought a pair.
3188,i thought you just bought a pair.,i did.
3189,i did.,what's wrong with them so soon?
3190,what's wrong with them so soon?,"the pants are fine, but the pocket has a huge hole in it."
3191,"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
3192,you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.
3193,but that's what pockets are for.,you should carry them in a purse.
3194,you should carry them in a purse.,"i'm a man, and men don't carry purses!"
3195,"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets."
3196,"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.
3197,i would if i could find someone who makes strong pockets.,try a google search online.
3198,what are those wipes for?,you use them to wipe the handle of the shopping cart.
3199,you use them to wipe the handle of the shopping cart.,that's a great idea.
3200,that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
3201,"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
3202,i'm going to take five wipes.,what do you need five of them for?
3203,what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
3204,"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?
3205,what's the matter with the produce?,do you think the bananas fell from the sky?
3206,do you think the bananas fell from the sky?,what do you mean?
3207,what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
3208,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with."
3209,did you go to the 99 cents store?,"yes, i did."
3210,"yes, i did.",what did you buy?
3211,what did you buy?,"well, i got a lot of good deals, as usual."
3212,"well, i got a lot of good deals, as usual.",like what?
3213,like what?,"well, a dozen large eggs were only 99 cents."
3214,"well, a dozen large eggs were only 99 cents.",that's a good deal.
3215,that's a good deal.,and a one-pound tub of soft butter was the same price.
3216,and a one-pound tub of soft butter was the same price.,another good deal.
3217,another good deal.,but the best deal was five pounds of potatoes for 99 cents.
3218,but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.
3219,i don't know how that store makes money.,"neither do i, but they're doing something right."
3220,i need a new computer.,what's the matter with yours?
3221,what's the matter with yours?,it's six years old.
3222,it's six years old.,that's pretty old.
3223,that's pretty old.,"it still works, but i'm going to give it to a charity."
3224,"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
3225,are you going to buy a desktop or laptop?,"oh, a laptop, of course."
3226,"oh, a laptop, of course.",a pc or a mac?
3227,a pc or a mac?,i haven't decided yet.
3228,i haven't decided yet.,more and more people are using macs.
3229,more and more people are using macs.,but 90 percent of the world uses pcs.
3230,but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
3231,i got ripped off.,what happened?
3232,what happened?,"i had a car problem, so i went online."
3233,"i had a car problem, so i went online.",did you find a solution?
3234,did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
3235,"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
3236,"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
3237,"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
3238,what are you going to do?,i sent them an email asking for my money back.
3239,i sent them an email asking for my money back.,have you heard from them?
3240,have you heard from them?,not yet. it's been a week.
3241,not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
3242,where's the pencil sharpener?,which one?
3243,which one?,any one. i need to sharpen this pencil.
3244,any one. i need to sharpen this pencil.,i think there's one on the dining room table.
3245,i think there's one on the dining room table.,i already looked there.
3246,i already looked there.,did you look in the desk drawer?
3247,did you look in the desk drawer?,"yes, i looked there, too."
3248,"yes, i looked there, too.",don't we have about five sharpeners?
3249,don't we have about five sharpeners?,"yes, but they seem to have legs."
3250,"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
3251,tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
3252,get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
3253,i'm trying to stretch my dollars.,how are you doing that?
3254,how are you doing that?,i started shopping at the dollar store.
3255,i started shopping at the dollar store.,that saves a lot of money.
3256,that saves a lot of money.,i bought three pounds of potatoes for a dollar.
3257,i bought three pounds of potatoes for a dollar.,that's a good deal.
3258,that's a good deal.,"yes, even though some of the potatoes had eyes."
3259,"yes, even though some of the potatoes had eyes.",just put them in the fridge.
3260,just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
3261,"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
3262,why did you do that?,i mixed them together.
3263,i mixed them together.,"if the coffee still tastes okay, that's a good idea."
3264,i really like this house.,can we afford it?
3265,can we afford it?,they want 20 percent down.
3266,they want 20 percent down.,that's a lot of money.
3267,that's a lot of money.,but the house is so nice.
3268,but the house is so nice.,it's in a great neighborhood.
3269,it's in a great neighborhood.,it's close to the beach.
3270,it's close to the beach.,it's close to the freeways.
3271,it's close to the freeways.,it's got a big yard.
3272,it's got a big yard.,"the kids love the house, too."
3273,"the kids love the house, too.","if we don't buy it, someone else will."
3274,"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
3275,we can't afford this house.,are you sure?
3276,are you sure?,"we will be house rich, but cash poor."
3277,"we will be house rich, but cash poor.",what do you mean?
3278,what do you mean?,our monthly payments will be too high.
3279,our monthly payments will be too high.,we won't have any money for other things?
3280,we won't have any money for other things?,"no, we won't have money for gas or food."
3281,"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
3282,we'll be eating peanut butter sandwiches?,without the peanut butter!
3283,without the peanut butter!,that's no good!
3284,that's no good!,we have to find a cheaper house.
3285,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
3286,that is a beautiful house.,i don't like it.
3287,i don't like it.,what's the matter with it?
3288,what's the matter with it?,it's on the corner.
3289,it's on the corner.,so?
3290,so?,that means it gets twice as much traffic.
3291,that means it gets twice as much traffic.,you're right.
3292,you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
3293,"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
3294,or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
3295,or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
3296,let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better."
3297,i hate looking for an apartment.,"me, too."
3298,"me, too.",we have a 2 o'clock appointment to see the one on main street.
3299,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
3300,we'd better get ready to go.,it's an upstairs unit.
3301,it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
3302,"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
3303,and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
3304,that's great. we won't have neighbors on both sides of us.,no pets are allowed.
3305,no pets are allowed.,perfect. we don't have to listen to barking dogs.
3306,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
3307,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
3308,did you call the manager?,yes. he said he'd come over tomorrow.
3309,yes. he said he'd come over tomorrow.,did he say what time?
3310,did he say what time?,yes. he said he'd be here at 9 o'clock.
3311,yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
3312,did he understand what the problem is?,yes. i told him our doorbell doesn't work.
3313,yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
3314,it shouldn't take him long to fix it.,i don't even know why we need to fix it.
3315,i don't even know why we need to fix it.,in case we have visitors.
3316,in case we have visitors.,but they can just knock on the door.
3317,but they can just knock on the door.,"actually, i want him to look at our carpet, too."
3318,"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
3319,do you like this house?,"yes, it's beautiful."
3320,"yes, it's beautiful.",it's perfect for us and the kids.
3321,it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
3322,"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
3323,and we can afford it!,so are we going to buy it?
3324,so are we going to buy it?,i'm afraid not.
3325,i'm afraid not.,"it's too far from your job, isn't it?"
3326,"it's too far from your job, isn't it?",i can't spend four hours on the road every day.
3327,i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
3328,"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
3329,i won't be able to play with the kids.,"no, we have to find something closer to your job."
3330,"boy, it's chilly outside, isn't it?",it sure is.
3331,it sure is.,"in fact, it's chilly in the apartment, too."
3332,"in fact, it's chilly in the apartment, too.",let's turn on the heat.
3333,let's turn on the heat.,i'll check to make sure that all the windows are shut.
3334,i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.
3335,it should be warmer in a few minutes.,it's so nice to have a heated apartment.
3336,it's so nice to have a heated apartment.,how did they survive in the old days?
3337,how did they survive in the old days?,they had fireplaces.
3338,they had fireplaces.,someone had to chop the wood.
3339,someone had to chop the wood.,and carry it into the house.
3340,and carry it into the house.,all we have to do is flip a switch.
3341,this is a nice neighborhood.,the streets are clean and quiet.
3342,the streets are clean and quiet.,the neighbors don't party on the weekends.
3343,the neighbors don't party on the weekends.,people take care of their lawns.
3344,people take care of their lawns.,no rusty old cars are sitting in the front yards.
3345,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
3346,we never have to call the police about anything.,our kids are completely safe.
3347,our kids are completely safe.,so why are we selling our house?
3348,so why are we selling our house?,they're building a 3-story apartment building on the corner.
3349,they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
3350,so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
3351,yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
3352,that was a huge fire in santa barbara.,"yes, it was."
3353,"yes, it was.",they said about 30 houses burned to the ground.
3354,they said about 30 houses burned to the ground.,and they were expensive houses.
3355,and they were expensive houses.,i feel so sorry for those people.
3356,i feel so sorry for those people.,why feel sorry for rich people?
3357,why feel sorry for rich people?,i feel sorry for anyone who loses their home.
3358,i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
3359,"so do i, but not if they're rich.",what does that have to do with it?
3360,what does that have to do with it?,rich people think they're better than us.
3361,rich people think they're better than us.,how many rich people do you know?
3362,how many rich people do you know?,none.
3363,bears are invading our neighborhoods.,of course they are. they're starving to death.
3364,of course they are. they're starving to death.,they should stay in the woods where they belong.
3365,they should stay in the woods where they belong.,there's no food in the woods.
3366,there's no food in the woods.,can't they eat grass?
3367,can't they eat grass?,do you think a bear is a cow?
3368,do you think a bear is a cow?,"well, i've seen them eating berries."
3369,"well, i've seen them eating berries.",berries aren't in season all year round.
3370,berries aren't in season all year round.,it's too dangerous for kids and pets.
3371,it's too dangerous for kids and pets.,people need to cover their trash cans.
3372,people need to cover their trash cans.,the police need to shoot all the bears.
3373,the police need to shoot all the bears.,you don't solve a problem by shooting it.
3374,who did you vote for?,i voted for obama.
3375,i voted for obama.,me too.
3376,me too.,he will be a great president.
3377,he will be a great president.,everyone likes him.
3378,everyone likes him.,he's a good speaker.
3379,he's a good speaker.,and he's really smart.
3380,and he's really smart.,he will solve our problems.
3381,he will solve our problems.,he will end the war.
3382,he will end the war.,the next four years will be good years.
3383,the next four years will be good years.,"i'll vote for him next time, too."
3384,"i'll vote for him next time, too.",i think everyone will.
3385,the election is next week.,who are you voting for?
3386,who are you voting for?,i'm not voting for the mayor.
3387,i'm not voting for the mayor.,why not?
3388,why not?,he made promises that he didn't keep.
3389,he made promises that he didn't keep.,like what?
3390,like what?,"he promised to hire 1,000 more police officers."
3391,"he promised to hire 1,000 more police officers.",how many did he hire?
3392,how many did he hire?,one hundred!
3393,one hundred!,maybe he had a good reason.
3394,maybe he had a good reason.,maybe he's just a liar.
3395,maybe he's just a liar.,"maybe i'll vote for someone else, too."
3396,i can't believe he won the election.,only 15 percent of the voters turned out.
3397,only 15 percent of the voters turned out.,that is a joke.
3398,that is a joke.,"voting is so important, but people don't bother."
3399,"voting is so important, but people don't bother.",many people think their vote doesn't matter.
3400,many people think their vote doesn't matter.,"the mayor won by only 2,000 votes."
3401,"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
3402,we're stuck with him for four more years.,voting is so easy. you can even mail your ballot in.
3403,voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
3404,all you have to do is vote and put a stamp on it.,how easy is that?
3405,how easy is that?,i guess people just don't care.
3406,i guess people just don't care.,they'll care when they see their taxes go up.
3407,"well, we have a new president.",but we have the same old problems.
3408,but we have the same old problems.,"well, he's made a few changes."
3409,"well, he's made a few changes.",like what?
3410,like what?,i think he closed the bowling alley in the white house.
3411,i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
3412,"oh, yeah. he's changing it to a basketball court.",who's paying for that?
3413,who's paying for that?,i think we are!
3414,i think we are!,"well, that's okay, as long as it helps him relax and think more clearly."
3415,"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
3416,"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
3417,do any other world leaders have a basketball court?,they will. you know america always leads the way.
3418,people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
3419,"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
3420,that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
3421,obama's got four years to make everyone happy.,he's never going to make everyone happy.
3422,he's never going to make everyone happy.,can you imagine being president?
3423,can you imagine being president?,everyone wants you to solve their problems.
3424,everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
3425,i have enough stress from trying to solve my own problems.,you and everybody else.
